date,equity,cash,market_value,benchmark,daily_return
2025-11-05,1264661.8441719604,45275.844171960256,1219386.0,4627.257,0.0025518397562538375
2025-11-06,1266349.8441719604,45275.844171960256,1221074.0,4693.4032,0.0013347441513942293
2025-11-07,1242598.8441719604,45275.844171960256,1197323.0,4678.7944,-0.018755480651186263
2025-11-10,1238680.8441719604,45275.844171960256,1193405.0,4695.0507,-0.003153069084504745
2025-11-11,1229597.8441719604,45275.844171960256,1184322.0,4652.1655,-0.007332800892768998
2025-11-12,1239981.8441719604,45275.844171960256,1194706.0,4645.9079,0.008445037578113768
2025-11-13,1246301.8441719604,45275.844171960256,1201026.0,4702.0738,0.005096848820573152
2025-11-14,1232999.8441719604,45275.844171960256,1187724.0,4628.1398,-0.010673176856957789
2025-11-17,1230808.8441719604,45275.844171960256,1185533.0,4598.0525,-0.0017769669723448622
2025-11-18,1236741.8441719604,45275.844171960256,1191466.0,4568.1928,0.004820407350900613
2025-11-19,1201949.8441719604,45275.844171960256,1156674.0,4588.2922,-0.02813198256689886
2025-11-20,1196126.8441719604,45275.844171960256,1150851.0,4564.9483,-0.004844628108431226
2025-11-21,1153346.8441719604,45275.844171960256,1108071.0,4453.6076,-0.03576543759421702
2025-11-24,1180411.8441719604,45275.844171960256,1135136.0,4448.0478,0.02346648810525953
2025-11-25,1198964.8441719604,45275.844171960256,1153689.0,4490.4047,0.015717395662879552
2025-11-26,1196338.8441719604,45275.844171960256,1151063.0,4517.6255,-0.0021902226848140582
2025-11-27,1214371.8441719604,45275.844171960256,1169096.0,4515.4027,0.015073488659044232
2025-11-28,1219661.8441719604,45275.844171960256,1174386.0,4526.6616,0.0043561616035383555
2025-12-01,1229133.4151161802,47234.41511618026,1181899.0,4576.4856,0.0077657352236431
2025-12-02,1213125.4151161802,47234.41511618026,1165891.0,4554.3347,-0.013023809948643272
2025-12-03,1202986.4151161802,47234.41511618026,1155752.0,4531.0486,-0.008357750875270353
2025-12-04,1190580.4151161802,47234.41511618026,1143346.0,4546.5664,-0.010312668409311887
2025-12-05,1212916.4151161802,47234.41511618026,1165682.0,4584.5368,0.01876059753411985
2025-12-08,1236542.4151161802,47234.41511618026,1189308.0,4621.7545,0.019478671164440353
2025-12-09,1231888.4151161802,47234.41511618026,1184654.0,4598.2232,-0.003763720470164933
2025-12-10,1226901.4151161802,47234.41511618026,1179667.0,4591.8273,-0.004048256269647332
2025-12-11,1205613.4151161802,47234.41511618026,1158379.0,4552.1848,-0.01735102734231031
2025-12-12,1224914.4151161802,47234.41511618026,1177680.0,4580.95,0.016009277731983573
2025-12-15,1210428.4151161802,47234.41511618026,1163194.0,4552.0596,-0.011826132357684815
2025-12-16,1197613.4151161802,47234.41511618026,1150379.0,4497.5545,-0.0105871605788187
2025-12-17,1222316.4151161802,47234.41511618026,1175082.0,4579.875,0.020626856453176634
2025-12-18,1211496.4151161802,47234.41511618026,1164262.0,4552.7926,-0.008852045072937686
2025-12-19,1218290.4151161802,47234.41511618026,1171056.0,4568.1781,0.005607940655233845
2025-12-22,1236177.4151161802,47234.41511618026,1188943.0,4611.6235,0.014682049352160664
2025-12-23,1237316.4151161802,47234.41511618026,1190082.0,4620.7341,0.0009213887796946096
2025-12-24,1255236.4151161802,47234.41511618026,1208002.0,4634.0586,0.014482956648010914
2025-12-25,1273965.4151161802,47234.41511618026,1226731.0,4642.5357,0.014920695236734671
2025-12-26,1261001.4151161802,47234.41511618026,1213767.0,4657.24,-0.010176100423273882
2025-12-29,1267706.4151161802,47234.41511618026,1220472.0,4639.3721,0.005317202597573845
2025-12-30,1268830.4151161802,47234.41511618026,1221596.0,4651.2818,0.0008866406185197295
2025-12-31,1271094.4151161802,47234.41511618026,1223860.0,4629.9395,0.001784320404860873
2026-01-05,1288781.1582852153,38319.15828521529,1250462.0,4717.7457,0.013914578617213458
2026-01-06,1299070.1582852153,38319.15828521529,1260751.0,4790.6938,0.007983512122174519
